file_nm,element_id,amount,unit_ref,decimals,contextref
aaaa.xbrl,jpcrp_cor:numberofsharesheld,17420000,,-3,CurrentYearInstant_No5MajorShareholdersMember
aaaa.xbrl,jpcrp_cor:shareholdingratio,0.0222,,4,CurrentYearInstant_No5MajorShareholdersMember
aaaa.xbrl,jpcrp_cor:numberofsharesheld,16426000,,-3,CurrentYearInstant_No6MajorShareholdersMember
aaaa.xbrl,jpcrp_cor:shareholdingratio,0.0209,,4,CurrentYearInstant_No6MajorShareholdersMember
aaaa.xbrl,jpcrp_cor:numberofsharesheld,16197000,,-3,CurrentYearInstant_No7MajorShareholdersMember
aaaa.xbrl,jpcrp_cor:shareholdingratio,0.0206,,4,CurrentYearInstant_No7MajorShareholdersMember
aaaa.xbrl,jpcrp_cor:numberofsharesheld,13097000,,-3,CurrentYearInstant_No8MajorShareholdersMember
aaaa.xbrl,jpcrp_cor:shareholdingratio,0.0167,,4,CurrentYearInstant_No8MajorShareholdersMember
aaaa.xbrl,jpcrp_cor:numberofsharesheld,12994000,,-3,CurrentYearInstant_No9MajorShareholdersMember
aaaa.xbrl,jpcrp_cor:shareholdingratio,0.0165,,4,CurrentYearInstant_No9MajorShareholdersMember
aaaa.xbrl,jpcrp_cor:numberofsharesheld,11053000,,-3,CurrentYearInstant_No10MajorShareholdersMember
aaaa.xbrl,jpcrp_cor:shareholdingratio,0.0141,,4,CurrentYearInstant_No10MajorShareholdersMember
aaaa.xbrl,jpcrp_cor:numberofsharesheld,271683000,,-3,CurrentYearInstant
aaaa.xbrl,jpcrp_cor:shareholdingratio,0.3457,,4,CurrentYearInstant
aaaa.xbrl,jppfs_cor:cashanddeposits,172803000000,,-6,Prior1YearInstant
aaaa.xbrl,jppfs_cor:cashanddeposits,196158000000,,-6,CurrentYearInstant
aaaa.xbrl,jppfs_cor:notesreceivableaccountsreceivablefromcompletedconstructioncontractsandothercns,449049000000,,-6,Prior1YearInstant
aaaa.xbrl,jppfs_cor:notesreceivableaccountsreceivablefromcompletedconstructioncontractsandothercns,503380000000,,-6,CurrentYearInstant
aaaa.xbrl,jppfs_cor:shortterminvestmentsecurities,143000000000,,-6,Prior1YearInstant
aaaa.xbrl,jppfs_cor:shortterminvestmentsecurities,145150000000,,-6,CurrentYearInstant
aaaa.xbrl,jppfs_cor:realestateforsale,39479000000,,-6,Prior1YearInstant
aaaa.xbrl,jppfs_cor:realestateforsale,19228000000,,-6,CurrentYearInstant
aaaa.xbrl,jppfs_cor:costsonuncompletedconstructioncontractscns,76851000000,,-6,Prior1YearInstant
aaaa.xbrl,jppfs_cor:costsonuncompletedconstructioncontractscns,77779000000,,-6,CurrentYearInstant
aaaa.xbrl,jpcrp030000-asr_e00053-000:uncompletedrealestatedevelopmentprojectsca,29613000000,,-6,Prior1YearInstant
aaaa.xbrl,jpcrp030000-asr_e00053-000:uncompletedrealestatedevelopmentprojectsca,26502000000,,-6,CurrentYearInstant
aaaa.xbrl,jpcrp030000-asr_e00053-000:pfiprojectsandotherinventoriesca,52033000000,,-6,Prior1YearInstant
aaaa.xbrl,jpcrp030000-asr_e00053-000:pfiprojectsandotherinventoriesca,47969000000,,-6,CurrentYearInstant
aaaa.xbrl,jppfs_cor:deferredtaxassetsca,20865000000,,-6,Prior1YearInstant
aaaa.xbrl,jppfs_cor:deferredtaxassetsca,16197000000,,-6,CurrentYearInstant
aaaa.xbrl,jppfs_cor:otherca,76256000000,,-6,Prior1YearInstant
aaaa.xbrl,jppfs_cor:otherca,89275000000,,-6,CurrentYearInstant
aaaa.xbrl,jppfs_cor:allowancefordoubtfulaccountsca,-861000000,,-6,Prior1YearInstant
aaaa.xbrl,jppfs_cor:allowancefordoubtfulaccountsca,-867000000,,-6,CurrentYearInstant
aaaa.xbrl,jppfs_cor:currentassets,1059091000000,,-6,Prior1YearInstant
aaaa.xbrl,jppfs_cor:currentassets,1120776000000,,-6,CurrentYearInstant
aaaa.xbrl,jppfs_cor:buildingsandstructures,169974000000,,-6,Prior1YearInstant
aaaa.xbrl,jppfs_cor:buildingsandstructures,181675000000,,-6,CurrentYearInstant
aaaa.xbrl,jppfs_cor:machineryvehiclestoolsfurnitureandfixtures,59270000000,,-6,Prior1YearInstant
aaaa.xbrl,jppfs_cor:machineryvehiclestoolsfurnitureandfixtures,62830000000,,-6,CurrentYearInstant
aaaa.xbrl,jppfs_cor:land,146711000000,,-6,Prior1YearInstant
aaaa.xbrl,jppfs_cor:land,157173000000,,-6,CurrentYearInstant
aaaa.xbrl,jppfs_cor:constructioninprogress,4368000000,,-6,Prior1YearInstant
aaaa.xbrl,jppfs_cor:constructioninprogress,6014000000,,-6,CurrentYearInstant
aaaa.xbrl,jppfs_cor:accumulateddepreciationbuildings,-133628000000,,-6,Prior1YearInstant
aaaa.xbrl,jppfs_cor:accumulateddepreciationbuildings,-141903000000,,-6,CurrentYearInstant
aaaa.xbrl,jppfs_cor:propertyplantandequipment,246696000000,,-6,Prior1YearInstant
aaaa.xbrl,jppfs_cor:propertyplantandequipment,265790000000,,-6,CurrentYearInstant
